               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11448,            0.035442,            0.027608,           0.0030835,             0.23947,           0.0025243,          0.00063682,            0.097984,            0.027533,            0.025612,              0.0883,              0.0013,              0.0013
                   1,            0.095609,             0.04366,            0.026494,           0.0082791,             0.66802,            0.020878,           0.0054056,            0.077728,             0.02957,             0.02394,            0.075688,           0.0026879,           0.0026879
                   2,            0.082276,            0.048045,              0.0251,             0.25695,              0.1522,            0.085913,            0.023859,            0.068034,            0.031448,            0.021641,            0.063063,           0.0040631,           0.0040631
                   3,            0.076217,            0.047717,            0.023246,            0.023827,             0.20991,            0.031574,             0.00752,            0.079551,             0.03864,            0.019865,            0.050426,           0.0054257,           0.0054257
                   4,            0.075615,            0.039683,            0.022506,             0.12555,             0.29088,              0.1384,            0.037539,            0.065511,            0.027011,             0.01817,            0.037776,           0.0067758,           0.0067758
                   5,            0.074199,            0.034274,            0.021386,             0.13742,             0.35286,             0.16529,            0.046067,            0.067509,            0.024171,            0.017145,            0.025113,           0.0081132,           0.0081132
                   6,             0.07337,            0.037783,            0.020362,             0.20576,             0.39167,             0.19466,            0.058633,            0.061406,             0.02282,            0.015988,            0.012438,           0.0094381,           0.0094381
                   7,            0.072973,            0.030809,            0.019844,             0.23757,             0.36148,             0.21818,            0.065706,            0.059419,            0.020427,            0.015557,            0.009685,            0.009685,            0.009685
                   8,            0.069041,            0.030881,              0.0193,             0.43561,             0.37213,              0.2168,            0.077676,            0.061011,            0.021146,            0.015097,            0.009685,            0.009685,            0.009685
                   9,            0.064209,            0.030915,            0.018505,             0.46366,              0.4242,             0.31221,             0.11838,            0.054132,            0.021721,            0.014094,             0.00964,             0.00964,             0.00964
                  10,            0.060189,            0.032305,            0.018238,             0.29044,             0.53141,             0.32585,             0.10524,            0.057516,            0.022164,            0.013779,            0.009595,            0.009595,            0.009595
                  11,            0.058135,            0.029908,             0.01704,              0.2433,             0.46161,             0.29784,            0.094455,            0.051921,            0.021236,            0.013369,             0.00955,             0.00955,             0.00955
                  12,            0.057056,             0.03326,            0.017278,             0.32112,             0.39406,              0.3088,             0.12701,            0.051361,            0.020409,            0.013155,            0.009505,            0.009505,            0.009505
                  13,            0.052295,            0.030013,            0.016508,             0.34551,             0.48304,             0.35766,              0.1467,            0.050601,            0.020581,              0.0128,             0.00946,             0.00946,             0.00946
                  14,             0.05505,            0.028066,            0.016547,             0.40945,             0.47945,             0.45312,             0.16689,            0.049582,             0.01882,            0.012653,            0.009415,            0.009415,            0.009415
                  15,            0.052432,            0.030441,            0.016447,              0.3963,             0.44959,             0.39389,              0.1464,            0.048866,            0.018497,            0.011773,             0.00937,             0.00937,             0.00937
